date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:46	33040/33040	---M--	200	added ('OK')	application/x-font-woff	etag:%224f40971-8110-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfont.woff	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfont.woff	(from http://www.istevitu.in/horizon/css/fonts.css)
12:47:48	80100/80100	---M--	200	added ('OK')	image/svg+xml	etag:%224f4096f-138e4-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfont.svg	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfont.svg	(from http://www.istevitu.in/horizon/css/fonts.css)
12:47:52	29029/29029	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f4096e-7165-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfont.eot?	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfontd41d.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:47:54	28030/28030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f40976-6d7e-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.eot	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:47:58	32060/32060	---M--	200	added ('OK')	application/x-font-woff	etag:%224f40979-7d3c-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.woff	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.woff	(from http://www.istevitu.in/horizon/css/fonts.css)
12:47:59	59456/59456	---M--	200	added ('OK')	application/x-font-ttf	etag:%224f40970-e840-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfont.ttf	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-bolditalic-webfont.ttf	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:00	81730/81730	---M--	200	added ('OK')	image/svg+xml	etag:%224f40977-13f42-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.svg	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.svg	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:01	28030/28030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f40976-6d7e-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.eot?	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfontd41d.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:05	28736/28736	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f4097a-7040-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.eot	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:06	32844/32844	---M--	200	added ('OK')	application/x-font-woff	etag:%224f4097d-804c-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.woff	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.woff	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:08	58712/58712	---M--	200	added ('OK')	application/x-font-ttf	etag:%224f40978-e558-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.ttf	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-heavyitalic-webfont.ttf	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:09	28736/28736	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f4097a-7040-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.eot?	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfontd41d.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:10	80649/80649	---M--	200	added ('OK')	image/svg+xml	etag:%224f4097b-13b09-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.svg	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.svg	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:15	59844/59844	---M--	200	added ('OK')	application/x-font-ttf	etag:%224f4097c-e9c4-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.ttf	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-italic-webfont.ttf	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:16	26871/26871	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f40982-68f7-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.eot	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:16	31048/31048	---M--	200	added ('OK')	application/x-font-woff	etag:%224f40985-7948-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.woff	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.woff	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:17	75177/75177	---M--	200	added ('OK')	image/svg+xml	etag:%224f40983-125a9-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.svg	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.svg	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:21	26871/26871	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f40982-68f7-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.eot?	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfontd41d.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:23	29178/29178	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f4097e-71fa-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.eot	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:25	55012/55012	---M--	200	added ('OK')	application/x-font-ttf	etag:%224f40984-d6e4-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.ttf	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-light-webfont.ttf	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:26	33300/33300	---M--	200	added ('OK')	application/x-font-woff	etag:%224f40981-8214-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.woff	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.woff	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:29	81007/81007	---M--	200	added ('OK')	image/svg+xml	etag:%224f4097f-13c6f-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.svg	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.svg	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:29	29178/29178	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f4097e-71fa-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.eot?	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfontd41d.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:34	25951/25951	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f40986-655f-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.eot	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:35	30204/30204	---M--	200	added ('OK')	application/x-font-woff	etag:%224f40989-75fc-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.woff	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.woff	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:35	60448/60448	---M--	200	added ('OK')	application/x-font-ttf	etag:%224f40980-ec20-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.ttf	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-lightitalic-webfont.ttf	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:36	76386/76386	---M--	200	added ('OK')	image/svg+xml	etag:%224f40987-12a62-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.svg	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.svg	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:39	943180/943180	---M--	200	added ('OK')	image/png	etag:%224f409e0-e644c-549f3deb77980%22	http://www.istevitu.in/horizon/images/logoK@2x.png	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/images/logoK@2x.png	(from http://www.istevitu.in/horizon/css/main.css)
12:48:39	25951/25951	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f40986-655f-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.eot?	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfontd41d.eot	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:45	56132/56132	---M--	200	added ('OK')	application/x-font-ttf	etag:%224f40988-db44-11eff927efc00%22	http://www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.ttf	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/fonts/merriweather/merriweather-regular-webfont.ttf	(from http://www.istevitu.in/horizon/css/fonts.css)
12:48:46	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f4095f-dac6-501979f6d8e80%22	http://www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont.eot?v=4.2.0	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont78ce.eot	(from http://www.istevitu.in/horizon/css/font-awesome/css/font-awesome.min.css)
12:48:48	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%224f40960-4611f-501979f6d8e80%22	http://www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont.svg?v=4.2.0	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont78ce.svg	(from http://www.istevitu.in/horizon/css/font-awesome/css/font-awesome.min.css)
12:48:50	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f4095f-dac6-501979f6d8e80%22	http://www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://www.istevitu.in/horizon/css/font-awesome/css/font-awesome.min.css)
12:48:51	65452/65452	---M--	200	added ('OK')	application/x-font-woff	etag:%224f40962-ffac-501979f6d8e80%22	http://www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont78ce.woff	(from http://www.istevitu.in/horizon/css/font-awesome/css/font-awesome.min.css)
12:48:54	112160/112160	---M--	200	added ('OK')	application/x-font-ttf	etag:%224f40961-1b620-501979f6d8e80%22	http://www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/My%20Web%20Sites/istu/www.istevitu.in/horizon/css/font-awesome/fonts/fontawesome-webfont78ce.ttf	(from http://www.istevitu.in/horizon/css/font-awesome/css/font-awesome.min.css)
